Method,Parameters,Model FPS,End-to-end FPS,End-to-end mean ms,End-to-end p95 ms,Preprocess mean ms,Model mean ms,Decode/NMS mean ms,Peak GPU MB,Samples
gaussian_visibility_a0_seed42_batch16,593075,103.86962670244394,17.80290201552528,56.17061752785784,64.22129999973549,35.27232016212808,9.627453489023381,7.911621783155064,297.3544921875,987
gaussian_visibility_a1_seed42,593075,96.09943906079735,21.07242561300309,47.45538166156503,53.39175999943108,26.272366767928297,10.405888002814976,7.674616615975394,314.54296875,987
gaussian_visibility_a2_seed42,593075,96.45181647421772,7.96798742620791,125.50220607914736,133.4653600002639,105.09797396145417,10.367871094136493,7.1373958460370455,316.54296875,987
gaussian_visibility_a3_seed42,593075,90.43969292064337,5.814346978453865,171.98835977723456,196.0318199940957,141.29653880464937,11.057091943881915,9.461485815703092,321.35546875,987
