Method,Number of parameters,FPS,Mean AP-9,Car,Ped,Cyc,KITTI mAP@Moderate
gaussian_visibility_a0_seed42_batch16,593075,103.86962670244394,72.93640628729808,83.43901625232557,65.4855629651826,69.88463964438606,72.3145957432469
gaussian_visibility_a1_seed42,593075,96.09943906079735,69.63448059892023,82.18923800337117,59.68779254213052,67.02641125125906,69.14661485714248
gaussian_visibility_a2_seed42,593075,96.45181647421772,70.37199949696611,79.35643297133373,60.434642684724274,71.32492283484031,69.70823479507759
